customer_key;nome_completo;eta;paese;sesso;tenure_giorni;recency_giorni;numero_ordini;spesa_totale;aov;diversita_categorie;quota_ordini_scontati;numero_ordini_annullati;regolarita_acquisti;metodo_pagamento_prevalente;regolarita_non_calcolabile;mai_acquistato;target_churned
232;Letizia Ginese;29;Italia;Femmina;246;58;9;1006,66;111,85;6;0.000000;1;14,68;PayPal;0;0;No
233;Rachel Williams;34;Australia;Femmina;809;9;32;8438,31;263,7;6;0.030000;6;22,02;PayPal;0;0;No
234;Ansaldo Rinaldi;46;Italia;Maschio;556;2;31;12030,44;388,08;6;0.070000;3;15,43;Contrassegno;0;0;No
235;Marisa Migliaccio;27;Italia;Femmina;582;20;30;6456,37;215,21;6;0.020000;4;20,49;Carta di credito;0;0;No
236;Niccolò Bellò;35;Italia;Maschio;813;33;37;7510,95;203;6;0.000000;7;17,81;PayPal;0;0;No
237;Adelasia Ferrari;34;Italia;Femmina;306;107;7;1169,69;167,1;5;0.000000;2;20,7;Contrassegno;0;0;No
238;Rembrandt Brancaccio;46;Italia;Maschio;447;36;23;4862,9;211,43;6;0.020000;3;17,65;Bonifico bancario;0;0;No
239;Maria De Meyer;32;Belgio;Femmina;66;7;3;1293,02;431,01;3;0.000000;0;5,18;Bonifico bancario;0;0;No
240;Élisabeth Morel;32;Francia;Femmina;337;21;14;4771,95;340,85;6;0.000000;2;17,31;PayPal;0;0;No
241;Umberto Giacometti;32;Italia;Maschio;190;12;6;1979,29;329,88;5;0.000000;2;26,73;Contrassegno;0;0;No
242;Hubert Ciuruś;41;Polonia;Maschio;622;27;37;9117,13;246,41;6;0.000000;3;16,11;Carta di credito;0;0;No
243;Giulia Tognazzi;50;Italia;Femmina;16;13;1;22,24;22,24;1;0.000000;0;19,67;Contrassegno;1;0;No
245;Teresa Valmarana;35;Italia;Femmina;33;33;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
246;Angel Bishop;44;Canada;Femmina;121;36;4;412,86;103,22;5;0.000000;0;25,51;Carta di credito;0;0;No
247;陽一 中島;47;Giappone;Maschio;581;23;27;4310,63;159,65;6;0.020000;9;25,04;Bonifico bancario;0;0;No
248;Henning Wulf;41;Germania;Maschio;387;10;18;4460,42;247,8;6;0.000000;2;21,08;Carta di credito;0;0;No
249;Ravy Borges;37;Brasile;Maschio;1065;51;50;10658,69;213,17;6;0.010000;9;18,43;Carta di credito;0;0;No
250;Savannah Smith;29;Stati Uniti;Femmina;178;60;9;2372,81;263,65;5;0.000000;0;7,63;Carta di credito;0;0;No
251;Fiorenzo Fieramosca;34;Italia;Maschio;516;23;29;3392,02;116,97;6;0.000000;4;16,03;Carta di credito;0;0;No
252;Tomás Llamas;42;Spagna;Maschio;394;44;11;1520,58;138,23;6;0.000000;2;22,3;Bonifico bancario;0;0;No
253;Lolita Polesel;33;Italia;Femmina;416;11;19;5052,39;265,92;6;0.000000;4;19,22;PayPal;0;0;No
254;Lia Neves;25;Portogallo;Femmina;1156;22;49;20504,26;418,45;6;0.000000;10;21,84;Carta di credito;0;0;No
256;修平 吉田;24;Giappone;Maschio;610;8;22;6098,38;277,2;6;0.000000;3;22,59;PayPal;0;0;No
257;Niccolò Giunti;47;Italia;Maschio;283;95;5;322,76;64,55;3;0.000000;3;28,5;Contrassegno;0;0;No
258;Anne Brennan;49;Regno Unito;Femmina;856;12;51;11545,48;226,38;6;0.040000;5;14,91;PayPal;0;0;No
259;Pierpaolo Baglioni;39;Italia;Maschio;480;15;41;15831,92;386,14;6;0.040000;11;9,7;PayPal;0;0;No
260;Livia Rosmini;49;Italia;Femmina;1229;35;50;10626,04;212,52;6;0.020000;7;20,48;Bonifico bancario;0;0;No
261;篤司 渡辺;52;Giappone;Maschio;95;30;3;527,23;175,74;3;0.000000;0;9,9;Carta di credito;0;0;No
262;Jennifer Lewis;22;Australia;Femmina;948;83;51;14423,45;282,81;6;0.030000;10;14,1;Bonifico bancario;0;0;No
263;Natascha Schmid;43;Austria;Femmina;1109;0;74;19955,66;269,67;6;0.030000;5;11,99;PayPal;0;0;No
264;Filippa Santoro;67;Italia;Femmina;307;6;15;2326,4;155,09;6;0.050000;3;21,74;PayPal;0;0;No
265;Graziano Polani;56;Italia;Maschio;375;13;14;843,29;60,24;5;0.000000;3;33,46;Contrassegno;0;0;No
266;Ninetta Pausini;55;Italia;Femmina;537;3;28;5004,35;178,73;6;0.000000;2;19,71;Carta di credito;0;0;No
267;Wolfhard Wohlgemut;47;Germania;Maschio;180;7;6;1116,5;186,08;4;0.000000;0;26,01;Carta di credito;0;0;No
268;Gianpaolo Doria;36;Italia;Maschio;1135;2;51;12447,38;244,07;6;0.010000;10;16,82;Bonifico bancario;0;0;No
269;Emma Humer;64;Austria;Femmina;1060;108;49;12803,67;261,3;6;0.040000;7;17,01;PayPal;0;0;No
272;Alessandra Morricone;28;Italia;Femmina;262;38;10;2134,03;213,4;6;0.000000;2;20,1;PayPal;0;0;No
273;Perla Pou;32;Spagna;Femmina;955;0;58;14098,71;243,08;6;0.000000;10;14,36;Carta di credito;0;0;No
274;Ricciotti Babato;42;Italia;Maschio;887;14;42;13785,66;328,23;6;0.020000;7;16,96;PayPal;0;0;Si
276;Caterina Marenzio;46;Italia;Femmina;861;88;39;6180,18;158,47;6;0.060000;7;15,34;Bonifico bancario;0;0;No
277;Marion Porter;41;Regno Unito;Femmina;24;7;1;11,12;11,12;1;0.000000;0;19,67;PayPal;1;0;No
278;Germana Pedroni;43;Italia;Femmina;128;78;2;93,39;46,7;2;0.000000;1;31,82;Carta di credito;0;0;No
279;Liv Van Henegouwen;35;Paesi Bassi;Femmina;866;8;45;5014,02;111,42;6;0.040000;5;15,57;PayPal;0;0;No
280;Simonetta Michelangeli;47;Italia;Femmina;865;144;43;10360,67;240,95;6;0.010000;5;13,91;PayPal;0;0;No
281;Isabella Reising;27;Germania;Femmina;143;21;4;132,24;33,06;3;0.000000;0;23,3;Carta di credito;0;0;No
282;Umberto Pozzecco;28;Italia;Maschio;765;85;29;3856,33;132,98;6;0.000000;2;28,04;PayPal;0;0;Si
284;Matthew Conner;48;Stati Uniti;Maschio;416;5;16;3500,91;218,81;6;0.000000;4;27,04;Bonifico bancario;0;0;No
285;Klara Hölzenbecher;28;Germania;Femmina;330;16;12;762,5;63,54;5;0.040000;2;20,5;Bonifico bancario;0;0;No
286;Maria Gaiatto;34;Italia;Femmina;135;18;5;735,01;147;5;0.000000;3;20,57;Contrassegno;0;0;No
287;Yolanda Marien;22;Belgio;Femmina;443;24;18;3764,68;209,15;6;0.030000;4;18,84;Carta di credito;0;0;No
288;Erika Marsili;32;Italia;Femmina;577;42;21;6511,71;310,08;6;0.050000;6;18,36;Contrassegno;0;0;No
289;Wenke Kaul;30;Germania;Femmina;649;41;24;2939,31;122,47;6;0.000000;2;21,98;Carta di credito;0;0;No
290;Eliana Cardano;59;Italia;Femmina;515;0;24;3063,61;127,65;6;0.040000;5;20,91;Carta di credito;0;0;No
291;Liam Da Rosa;49;Brasile;Maschio;562;55;18;6388,35;354,91;6;0.000000;7;29,01;Bonifico bancario;0;0;No
293;Lars Riegler;42;Austria;Maschio;318;10;7;2471,11;353,02;4;0.000000;1;45,14;Bonifico bancario;0;0;No
294;Raffaello Rensi;41;Italia;Maschio;156;14;6;1588,02;264,67;5;0.080000;0;18,06;Bonifico bancario;0;0;No
296;Eleanora Tomasetti;39;Italia;Femmina;395;28;14;2473,5;176,68;6;0.000000;4;26,1;Carta di credito;0;0;No
297;Ellie Bollen;44;Belgio;Femmina;14;4;1;28,38;28,38;1;0.000000;0;19,67;Carta di credito;1;0;No
298;Ferdinando Chinnici;26;Italia;Maschio;819;12;40;11297,73;282,44;6;0.020000;3;16,47;Bonifico bancario;0;0;No
299;Fabrizio Michelangeli;30;Italia;Maschio;654;2;24;4080,63;170,03;6;0.000000;3;22,77;PayPal;0;0;No
300;Lucrezia Tasso;27;Italia;Femmina;514;5;26;4169,73;160,37;6;0.000000;5;16,81;PayPal;0;0;No
301;Monique Faure;57;Francia;Femmina;801;38;35;11528,14;329,38;6;0.000000;10;16,22;Bonifico bancario;0;0;No
302;Alessia Marangoni;53;Italia;Femmina;657;6;35;7084,2;202,41;6;0.030000;5;17,77;Carta di credito;0;0;No
303;Danilo Cesarotti;24;Italia;Maschio;538;8;29;8212,43;283,19;6;0.020000;2;14,01;Carta di credito;0;0;No
304;Elias Steinmeiern;48;Paesi Bassi;Maschio;365;53;14;2910,59;207,9;6;0.060000;3;17,4;Bonifico bancario;0;0;No
305;Willy Buysse;45;Belgio;Maschio;1198;5;40;8605,76;215,14;6;0.010000;4;25,71;PayPal;0;0;No
306;Caterina Gabbana;43;Italia;Femmina;370;17;11;2344,68;213,15;6;0.000000;2;26,66;Contrassegno;0;0;No
307;Ángel Uriarte;41;Spagna;Maschio;577;21;35;9729,76;277,99;6;0.010000;5;12,13;PayPal;0;0;No
308;Aniela Fronczek;44;Polonia;Femmina;212;54;9;2608,6;289,84;6;0.000000;2;19,66;Bonifico bancario;0;0;No
309;Dionigi Ughi;23;Italia;Maschio;586;162;26;5610,68;215,8;6;0.000000;2;14,16;PayPal;0;0;No
310;James Peterson;40;Stati Uniti;Maschio;1345;28;109;31029,41;284,67;6;0.010000;15;8,72;PayPal;0;0;No
311;Valeria Serraglio;46;Italia;Femmina;1125;25;52;12395,35;238,37;6;0.010000;7;21,02;PayPal;0;0;No
312;Hannah Snyder;29;Canada;Femmina;153;19;8;2661,28;332,66;5;0.070000;1;12,53;Bonifico bancario;0;0;No
313;Maurizio Agnesi;26;Italia;Maschio;121;2;1;10,71;10,71;1;0.000000;0;19,67;PayPal;1;0;No
314;Javier Carpenter;47;Canada;Maschio;707;21;26;6631,28;255,05;6;0.050000;5;22,73;Carta di credito;0;0;No
315;Federica Botticelli;30;Italia;Femmina;1052;45;58;17523,7;302,13;6;0.020000;10;14,79;Carta di credito;0;0;No
316;Valentina Totino;33;Italia;Femmina;269;3;13;2109,78;162,29;6;0.040000;1;21,4;Carta di credito;0;0;No
317;Rosario Travia;36;Italia;Maschio;332;6;32;8189,19;255,91;6;0.020000;6;8;PayPal;0;0;No
318;Valerio Telesio;30;Italia;Maschio;763;21;37;7360,2;198,92;6;0.010000;7;14,99;Bonifico bancario;0;0;No
319;Rosario Parmitano;43;Italia;Maschio;136;44;4;1051,66;262,91;4;0.000000;0;17,51;Carta di credito;0;0;No
320;Germana Abba;41;Italia;Femmina;179;0;9;1371,32;152,37;5;0.000000;2;14,47;PayPal;0;0;No
321;Alessandra Ferretti;29;Italia;Femmina;991;25;49;14422,74;294,34;6;0.010000;9;16,9;Bonifico bancario;0;0;No
322;José Sá;52;Portogallo;Maschio;573;16;21;3409,24;162,34;6;0.000000;4;24,53;PayPal;0;0;No
323;Joannes De Sutter;40;Belgio;Maschio;207;1;3;88,53;29,51;3;0.000000;1;15,91;Bonifico bancario;0;0;No
325;Ilaria Casini;24;Italia;Femmina;126;10;5;1168,47;233,69;4;0.000000;2;24,53;PayPal;0;0;No
326;Chiara Morabito;45;Italia;Femmina;594;32;23;3025,14;131,53;6;0.000000;5;23,02;PayPal;0;0;No
327;Maurice Gaillard;33;Francia;Maschio;451;77;14;5268,78;376,34;6;0.040000;3;28,37;Bonifico bancario;0;0;No
328;Delfino Traetta;24;Italia;Maschio;705;26;30;9182,34;306,08;6;0.040000;4;21,61;Carta di credito;0;0;No
329;Gabrielle Lebrun;35;Francia;Femmina;11;11;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
330;Nora Riener;35;Austria;Femmina;653;0;35;3655,68;104,45;6;0.030000;5;16,71;PayPal;0;0;No
331;Oskar Cieciura;19;Polonia;Maschio;218;18;9;1388,78;154,31;5;0.000000;0;13,59;Carta di credito;0;0;No
332;Antonius Bartl;56;Austria;Maschio;32;20;1;25,13;25,13;1;0.000000;0;19,67;Carta di credito;1;0;No
333;Willy Verlinden;53;Belgio;Maschio;219;1;6;904,92;150,82;4;0.000000;1;36,66;PayPal;0;0;No
334;Maria Thys;34;Belgio;Femmina;545;1;60;10128,24;168,8;6;0.030000;3;8,36;Bonifico bancario;0;0;No
335;Ricciotti Fattori;68;Italia;Maschio;740;28;40;11072,75;276,82;6;0.040000;11;17,02;Carta di credito;0;0;No
336;Fabia Anastasi;31;Italia;Femmina;281;12;12;2731,16;227,6;5;0.090000;3;20,18;Bonifico bancario;0;0;No
337;Laura Deledda;28;Italia;Femmina;930;31;48;11668,28;243,09;6;0.010000;9;20,28;PayPal;0;0;No
338;Marina Lercari;46;Italia;Femmina;342;8;10;909,71;90,97;5;0.050000;2;25,63;Carta di credito;0;0;No
339;Loredana Morgagni;43;Italia;Femmina;11;11;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
340;Yan Rodrigues;22;Brasile;Maschio;498;29;15;5877,22;391,81;6;0.000000;4;31,27;Bonifico bancario;0;0;No
341;Gabriella Gullotta;49;Italia;Femmina;197;3;7;5655,27;807,9;5;0.000000;2;32,33;Contrassegno;0;0;No
342;Alexandra Sá;35;Portogallo;Femmina;1266;1;61;17920,29;293,78;6;0.030000;10;16,61;Bonifico bancario;0;0;No
343;Willem Vermeiren;41;Belgio;Maschio;392;26;11;2848,78;258,98;5;0.040000;2;29,38;PayPal;0;0;No
344;Patrizio Sforza;34;Italia;Maschio;932;16;48;11476,2;239,09;6;0.000000;8;17,57;PayPal;0;0;No
345;Ronaldo Camuccini;24;Italia;Maschio;688;28;61;17022,08;279,05;6;0.050000;11;11,12;Contrassegno;0;0;No
346;Jelle Janssen;24;Paesi Bassi;Maschio;537;39;16;2594,55;162,16;6;0.080000;2;18,27;Bonifico bancario;0;0;No
347;Luigi Zamengo;42;Italia;Maschio;540;4;24;4829,45;201,23;6;0.020000;2;14,52;Contrassegno;0;0;No
348;Anita Tognazzi;35;Italia;Femmina;329;4;12;1340,14;111,68;6;0.150000;3;36,64;Carta di credito;0;0;No
349;Karina Tomaszuk;40;Polonia;Femmina;301;0;12;6116,04;509,67;6;0.000000;1;18,96;Bonifico bancario;0;0;No
350;Ezio Tedesco;51;Italia;Maschio;751;18;33;8680,48;263,04;6;0.050000;5;24,01;Bonifico bancario;0;0;No
351;Giulia Natta;28;Italia;Femmina;245;39;16;3209,47;200,59;6;0.000000;4;13,42;Bonifico bancario;0;0;No
352;Dina Tornatore;31;Italia;Femmina;254;5;13;3228,13;248,32;6;0.030000;0;12,45;PayPal;0;0;No
353;Rita Benson;59;Australia;Femmina;128;1;2;433,17;216,59;2;0.000000;1;15,59;Bonifico bancario;0;0;No
354;Alessandra Armani;55;Italia;Femmina;568;54;23;2832,32;123,14;6;0.030000;1;21,44;Contrassegno;0;0;No
355;Lolita Marini;34;Italia;Femmina;93;18;1;88,39;88,39;2;0.000000;0;0;Bonifico bancario;0;0;No
356;Pierina Iannotti;48;Italia;Femmina;967;5;43;9122,95;212,16;6;0.030000;11;24,29;Contrassegno;0;0;No
357;Marcel Gangl;47;Austria;Maschio;619;23;17;3725,24;219,13;6;0.000000;8;26,63;Bonifico bancario;0;0;No
358;Giovanni Magrassi;31;Italia;Maschio;290;38;11;3001,21;272,84;5;0.000000;4;31,67;Carta di credito;0;0;No
359;Michaël De Ridder;20;Belgio;Maschio;248;3;10;2137,55;213,75;6;0.000000;2;16,83;Bonifico bancario;0;0;No
360;Annibale Mascheroni;28;Italia;Maschio;565;17;24;7335,21;305,63;6;0.000000;1;19,94;PayPal;0;0;No
361;Guy Janssens;69;Belgio;Maschio;420;44;11;3985,17;362,29;5;0.000000;3;21,4;Carta di credito;0;0;No
362;Lucia Salvo;45;Italia;Femmina;432;38;15;4451,75;296,78;6;0.040000;2;24,24;Bonifico bancario;0;0;No
363;Kristien Liekens;51;Belgio;Femmina;731;118;27;6475,38;239,83;6;0.020000;2;19,61;PayPal;0;0;No
364;Emilio Offredi;61;Italia;Maschio;733;24;35;6484,19;185,26;6;0.020000;5;17,41;Carta di credito;0;0;No
365;Thomas Legendre;75;Francia;Maschio;455;13;12;4192,4;349,37;6;0.000000;3;27,68;Bonifico bancario;0;0;No
366;Kai Hemetsberger;54;Austria;Maschio;381;1;9;5117,94;568,66;4;0.000000;1;29,73;Carta di credito;0;0;No
367;Naomi Ziegler;34;Austria;Femmina;164;32;4;283,51;70,88;4;0.000000;0;31,78;PayPal;0;0;No
368;Isabela Agullo;34;Spagna;Femmina;362;21;17;3037,15;178,66;5;0.030000;1;19,92;Bonifico bancario;0;0;No
369;Bruno Cibin;45;Italia;Maschio;12;7;1;11,12;11,12;1;0.000000;0;19,67;Carta di credito;1;0;No
370;Gian Sobrero;28;Italia;Maschio;15;15;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
372;Victoriano Torrijos;49;Spagna;Maschio;501;114;19;2234,7;117,62;6;0.150000;4;20,35;Carta di credito;0;0;No
373;Mia De Mey;27;Belgio;Femmina;306;12;27;4052,09;150,08;6;0.020000;4;7,77;Carta di credito;0;0;No
374;Amadeo Chigi;46;Italia;Maschio;288;23;7;723,57;103,37;5;0.000000;1;38,68;Contrassegno;0;0;No
375;Morgan Miller;19;Australia;Femmina;134;9;3;343,59;114,53;3;0.000000;0;28,56;PayPal;0;0;No
376;Toni Flaiano;39;Italia;Maschio;645;66;28;5569,89;198,92;6;0.020000;1;17;Bonifico bancario;0;0;No
377;Ramona Pezzali;39;Italia;Femmina;106;49;1;12,62;12,62;1;0.000000;1;19,67;PayPal;1;0;No
378;Gian Babati;61;Italia;Maschio;1021;87;51;15795,31;309,71;6;0.050000;7;15,27;PayPal;0;0;No
380;Kyle Allen;43;Stati Uniti;Maschio;520;38;26;7964,88;306,34;6;0.090000;2;22,08;Bonifico bancario;0;0;No
382;Martino Falier;44;Italia;Maschio;78;4;6;957,05;159,51;4;0.000000;0;6,92;Carta di credito;0;0;No
383;Vanessa Sagnelli;41;Italia;Femmina;614;12;24;5785,51;241,06;6;0.020000;6;17,83;Carta di credito;0;0;No
384;Monica Briccialdi;30;Italia;Femmina;461;22;23;6069,34;263,88;5;0.120000;2;18,45;Carta di credito;0;0;No
385;Anabel Roda;31;Spagna;Femmina;519;19;15;2543,12;169,54;6;0.040000;4;26,42;Bonifico bancario;0;0;No
386;Christina Moran;55;Stati Uniti;Femmina;166;6;2;1199,79;599,9;3;0.000000;1;16,26;Bonifico bancario;0;0;No
387;Melissa Fornaciari;20;Italia;Femmina;699;12;27;7020,68;260,03;6;0.020000;4;23,13;Contrassegno;0;0;Si
388;Francisca Pereira;54;Portogallo;Femmina;348;43;16;3335,92;208,5;6;0.080000;2;22,12;PayPal;0;0;No
389;Nedda Fantoni;40;Italia;Femmina;504;3;16;2851,9;178,24;6;0.000000;2;27,12;Bonifico bancario;0;0;No
390;Fernanda Tomaselli;31;Italia;Femmina;55;23;1;391,42;391,42;2;0.000000;1;19,67;Bonifico bancario;1;0;No
391;Nicoletta Trapani;59;Italia;Femmina;626;1;29;6120,91;211,07;6;0.020000;5;15,61;PayPal;0;0;No
392;Kate Van Ooste;45;Paesi Bassi;Femmina;270;76;7;1618,27;231,18;4;0.000000;1;31,45;Carta di credito;0;0;No
393;Vitória Peixoto;41;Brasile;Femmina;599;22;24;6125,02;255,21;6;0.000000;2;21,2;PayPal;0;0;No
394;Vittoria Rinaldi;45;Italia;Femmina;238;32;9;1573,74;174,86;6;0.000000;3;15,5;Contrassegno;0;0;No
395;Emanuel Correia;48;Portogallo;Maschio;158;45;4;2696,27;674,07;4;0.000000;0;27,63;PayPal;0;0;No
396;Lilla Malacarne;31;Italia;Femmina;798;22;38;10156,03;267,26;6;0.030000;11;19,7;PayPal;0;0;No
397;Lidia Treves;21;Italia;Femmina;186;69;2;54,25;27,13;2;0.000000;2;19,67;Contrassegno;1;0;No
398;Maura Montalcini;39;Italia;Femmina;111;14;3;641,74;213,91;3;0.000000;1;12,11;Contrassegno;0;0;No
399;Antoine Martel;18;Francia;Maschio;143;36;5;410,34;82,07;3;0.000000;1;19,86;Carta di credito;0;0;No
400;Kelly De Keyser;39;Belgio;Femmina;52;30;3;171,28;57,09;4;0.000000;0;5,2;PayPal;0;0;No
402;Adriano Giacconi;41;Italia;Maschio;632;53;26;5110,17;196,55;6;0.020000;1;19,22;Contrassegno;0;0;No
403;Zacarías Orozco;30;Spagna;Maschio;883;34;44;11342,3;257,78;6;0.020000;9;16,86;PayPal;0;0;No
404;Sian Edwards;37;Regno Unito;Femmina;939;10;48;12098,8;252,06;6;0.010000;10;14,81;Bonifico bancario;0;0;No
405;Rossana Pacelli;42;Italia;Femmina;414;56;17;2003;117,82;6;0.120000;3;17,07;PayPal;0;0;No
406;Marco Amato;32;Italia;Maschio;816;3;43;9096,19;211,54;6;0.020000;6;15,49;PayPal;0;0;No
407;Gabriel Wlaźlak;31;Polonia;Maschio;521;48;14;1438,72;102,77;6;0.040000;3;32,25;PayPal;0;0;No
408;Eugène Noël;32;Francia;Maschio;477;21;20;4143,84;207,19;6;0.120000;1;21,35;Bonifico bancario;0;0;No
409;Tammy Evans;32;Stati Uniti;Femmina;293;3;10;2524,17;252,42;5;0.000000;1;34,11;Bonifico bancario;0;0;No
410;Olga Gonzaga;32;Italia;Femmina;652;1;29;5213,23;179,77;6;0.020000;9;27,98;PayPal;0;0;No
411;Erika Bresciani;32;Italia;Femmina;956;29;42;12022,89;286,26;6;0.010000;6;16,65;PayPal;0;0;No
412;Ettore Morandi;38;Italia;Maschio;335;33;19;7460,6;392,66;6;0.000000;1;11,52;Bonifico bancario;0;0;No
414;Nicolas Weiss;36;Francia;Maschio;265;54;7;1223,8;174,83;5;0.000000;1;31,11;Carta di credito;0;0;No
415;Ivo Baptista;42;Portogallo;Maschio;132;16;3;872,47;290,82;4;0.000000;1;27,77;PayPal;0;0;No
416;Giancarlo Zoppetti;19;Italia;Maschio;212;58;5;2462,67;492,53;5;0.140000;0;21,78;Bonifico bancario;0;0;No
417;Gudrun Heintze;20;Germania;Femmina;211;3;4;1245,78;311,44;4;0.000000;1;24,65;PayPal;0;0;No
418;Lauretta Franzese;34;Italia;Femmina;408;13;16;1878,29;117,39;6;0.000000;3;20,33;Contrassegno;0;0;No
419;Rosina Riccardi;30;Italia;Femmina;918;7;48;7778,81;162,06;6;0.070000;11;19,81;Contrassegno;0;0;No
420;Borys Sularz;52;Polonia;Maschio;33;33;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
421;Sylvia Cerutti;39;Italia;Femmina;596;20;20;4808,45;240,42;6;0.000000;1;32,39;PayPal;0;0;No
422;Gertraude Patberg;43;Germania;Femmina;92;44;2;518,91;259,46;2;0.000000;0;20,51;Carta di credito;0;0;No
423;Patricia Frost;37;Australia;Femmina;108;0;3;191,64;63,88;3;0.200000;0;33,51;Bonifico bancario;0;0;No
424;Pompeo Fischetti;49;Italia;Maschio;182;9;10;3966,44;396,64;4;0.000000;1;16,18;PayPal;0;0;No
425;Lodewijk Everaert;18;Belgio;Maschio;19;19;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
426;Livio Fischetti;32;Italia;Maschio;104;36;3;3365,19;1121,73;4;0.110000;0;22,47;Bonifico bancario;0;0;No
427;Cassandra Visconti;33;Italia;Femmina;1045;29;71;22836,66;321,64;6;0.030000;10;15,29;PayPal;0;0;No
428;Ciro Villarosa;32;Italia;Maschio;523;19;22;3335,84;151,63;6;0.000000;3;18,21;PayPal;0;0;No
429;Allegra Grassi;36;Italia;Femmina;715;36;32;9265,54;289,55;6;0.040000;4;20,14;Bonifico bancario;0;0;No
430;Gianni Goldstein;36;Italia;Maschio;146;7;6;457,49;76,25;4;0.000000;0;11,88;PayPal;0;0;No
431;Bert Claeys;25;Belgio;Maschio;33;9;1;25,13;25,13;1;0.000000;0;19,67;PayPal;1;0;No
432;Manuel Bernardini;31;Italia;Maschio;1035;20;65;17428,54;268,13;6;0.020000;6;13,39;PayPal;0;0;No
433;Lukas Böhm;40;Austria;Maschio;544;19;24;7101,07;295,88;6;0.020000;2;17,5;PayPal;0;0;No
434;Lorenzo Faggiani;37;Italia;Maschio;896;68;28;7237,95;258,5;6;0.040000;8;29,64;Bonifico bancario;0;0;No
436;千代 林;69;Giappone;Femmina;961;10;42;10838,13;258,05;6;0.000000;9;19,42;Carta di credito;0;0;No
437;Halina Schweitzer;54;Germania;Femmina;893;26;44;10994,72;249,88;6;0.000000;9;18,55;Carta di credito;0;0;No
438;Pina Esposito;34;Italia;Femmina;581;95;14;4675,83;333,99;5;0.040000;2;29,33;Contrassegno;0;0;No
439;Isabela Antunes;33;Portogallo;Femmina;1090;0;57;12745,71;223,61;6;0.040000;9;17,51;PayPal;0;0;No
440;Ewelina Klos;41;Polonia;Femmina;374;26;19;4027,93;212;6;0.050000;5;14,75;PayPal;0;0;No
441;Anthony Hernandez;62;Stati Uniti;Maschio;953;10;53;18840,09;355,47;6;0.060000;2;14,93;Carta di credito;0;0;No
442;Margaux Ferreira;39;Francia;Femmina;326;17;16;2694,59;168,41;6;0.000000;2;16,46;PayPal;0;0;No
443;Osvaldo Donarelli;18;Italia;Maschio;87;49;2;89,49;44,74;1;0.000000;0;19,67;Contrassegno;1;0;No
444;Emilio Mocenigo;22;Italia;Maschio;53;34;1;15,15;15,15;1;0.000000;1;19,67;Bonifico bancario;1;0;No
446;Sandy Gehringer;50;Germania;Femmina;936;9;41;13784,64;336,21;6;0.000000;2;18,44;Carta di credito;0;0;No
447;Elena Schönberger;59;Austria;Femmina;815;21;49;9774,02;199,47;6;0.010000;2;14,8;Carta di credito;0;0;No
448;Marcial Vaquero;35;Spagna;Maschio;384;7;18;3371,66;187,31;6;0.000000;2;14,17;PayPal;0;0;No
449;Yolanda Maza;56;Spagna;Femmina;581;68;24;5063,55;210,98;6;0.020000;2;16,97;Carta di credito;0;0;No
450;Loredana Curatoli;55;Italia;Femmina;748;75;29;5540,25;191,04;6;0.000000;4;26,01;Contrassegno;0;0;Si
451;Gloria Dalla;42;Italia;Femmina;1150;27;118;26898,65;227,95;6;0.050000;18;7,95;PayPal;0;0;No
452;Débora Pinheiro;35;Portogallo;Femmina;263;56;6;331,37;55,23;5;0.000000;0;27,35;Bonifico bancario;0;0;No
453;Nina Cornelis;52;Belgio;Femmina;845;48;36;2722,12;75,61;6;0.020000;7;27,56;Carta di credito;0;0;No
454;Donna Cruz;57;Australia;Femmina;228;61;11;2020,6;183,69;5;0.000000;2;15,25;Carta di credito;0;0;No
455;Gerrit Sarneel;47;Paesi Bassi;Maschio;19;19;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
456;Pina Argan;51;Italia;Femmina;1078;28;93;19596,61;210,72;6;0.030000;13;8,65;Carta di credito;0;0;No
457;Jessica Thomas;27;Australia;Femmina;467;4;24;7270,36;302,93;6;0.040000;0;14,15;Bonifico bancario;0;0;No
458;Rosario Natta;31;Italia;Maschio;761;16;39;14728,37;377,65;6;0.010000;7;17,55;Bonifico bancario;0;0;No
459;Alberico Bodoni;26;Italia;Maschio;493;57;24;4887;203,62;6;0.040000;4;16,81;PayPal;0;0;No
460;Adelmo Pedrazzini;28;Italia;Maschio;93;58;2;92,59;46,3;2;0.000000;0;11,31;PayPal;0;0;No
461;Rosina Fibonacci;52;Italia;Femmina;851;26;57;18628,52;326,82;6;0.020000;3;12,57;Contrassegno;0;0;No
462;Graziella Padovano;40;Italia;Femmina;166;31;11;3076,55;279,69;6;0.000000;3;9,03;Contrassegno;0;0;No
463;Roland Caron;57;Francia;Maschio;1012;3;65;17070,73;262,63;6;0.020000;11;12,43;Bonifico bancario;0;0;No
464;Milena Carpaccio;36;Italia;Femmina;142;39;3;199,34;66,45;3;0.000000;0;33,59;Carta di credito;0;0;No
465;Lucio Fantozzi;38;Italia;Maschio;533;89;23;5203,17;226,22;5;0.000000;5;15,64;Contrassegno;0;0;No
